fixture_id,league,competition,match_date,match_time,prefix,home_team_clean,away_team,status,result,venue
1,North East Hampshire Youth League,North East Hampshire Youth League,2025-11-22,09:30:00,,Cranleigh U14M Albion,Goldsworth Park Rangers U14M Hurricanes,scheduled,,
107,South Surrey Youth Football League,South Surrey Youth Football League,2025-11-22,09:30:00,,Cranleigh U9 Eagles,Albury U9 Falcons,scheduled,,
106,South Surrey Youth Football League,South Surrey Youth Football League,2025-11-22,09:30:00,,Cranleigh U9 Bears,Meadow Sports U9 Lions,scheduled,,
105,South Surrey Youth Football League,South Surrey Youth Football League,2025-11-22,09:30:00,,Cranleigh U8 Sharks,Send United U8 King Cobras,scheduled,,
104,South Surrey Youth Football League,South Surrey Youth Football League,2025-11-22,09:30:00,,Cranleigh U8 Rays,Farncombe U8 Eagles,scheduled,,
103,South Surrey Youth Football League,South Surrey Youth Football League,2025-11-22,09:30:00,,Cranleigh U11 Panthers,Chiddingfold U11 Rockets,scheduled,,
102,South Surrey Youth Football League,South Surrey Youth Football League,2025-11-22,09:30:00,,Cranleigh U10 Tigers,Brockham Badgers U10 Black,scheduled,,
101,South Surrey Youth Football League,South Surrey Youth Football League,2025-11-22,09:30:00,,Cranleigh Kangaroos U7,Horsell Martians Invaders U7,scheduled,,
245,Surrey County Intermediate League (Western),Surrey County Intermediate League (Western),2025-11-22,14:00:00,RES,Cranleigh Reserves,Horsell Reserves,scheduled,,
100,South Surrey Youth Football League,South Surrey Youth Football League,2025-11-22,09:30:00,,Cranleigh Hawks U12,St. Pauls Panthers U12,scheduled,,
195,Horsham & District Youth Football League,Horsham & District Youth Football League,2025-11-22,09:30:00,Cup:,Cranleigh U13 Jaguars,Horsham Trinity U13,scheduled,,
196,Horsham & District Youth Football League,Horsham & District Youth Football League,2025-11-22,09:30:00,Cup:,Cranleigh U15 Cobras,Hurstpierpoint Colts U15,scheduled,,
197,Horsham & District Youth Football League,Horsham & District Youth Football League,2025-11-22,09:30:00,U16B,Cranleigh U16 Sharks,Hurstpierpoint Colts U16,scheduled,,
